Title,Description,Category,Type,Unit,Period,Value_ID,Value_MY,Value_TH,Value_VN,Value_SG,Value_PH
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2000",4.9,8.9,4.5,6.8,9.0,4.4
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2001",3.6,0.5,3.4,6.2,-1.1,2.9
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2002",4.5,5.4,6.1,6.3,4.1,3.6
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2003",4.8,5.8,7.2,6.9,4.5,5.0
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2004",5.0,6.8,6.3,7.5,9.5,6.7
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2005",5.7,5.0,4.2,7.5,7.5,4.8
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2006",5.5,5.6,5.1,7.0,8.9,5.2
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2007",6.3,6.3,5.4,7.1,9.0,6.6
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2008",6.0,4.8,1.7,5.7,1.9,4.3
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2009",4.6,-1.5,-0.7,5.4,-0.6,1.1
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2010",6.2,7.4,7.5,6.4,14.5,7.6
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2011",6.2,5.3,0.8,6.2,6.3,3.9
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2012",6.0,5.5,7.2,5.3,4.4,6.9
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2013",5.6,4.7,2.7,5.4,5.1,7.1
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2014",5.0,6.0,1.0,6.0,3.9,6.3
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2015",4.9,5.0,3.1,6.7,3.0,6.3
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2016",5.0,4.4,3.4,6.7,3.6,7.1
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2017",5.1,5.8,4.2,6.9,4.7,6.9
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2018",5.2,4.8,4.2,7.5,3.7,6.3
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2019",5.0,4.4,2.2,7.0,1.4,6.1
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2020",-2.1,-5.5,-6.1,2.9,-3.9,-9.5
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2021",3.7,3.1,1.5,2.6,8.9,5.7
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2022",5.3,8.7,2.6,8.0,3.6,7.6
"Regional GDP Growth Comparison (ASEAN-6)","Historical annual GDP growth comparison between the six major ASEAN economies. Data curated from World Bank and IMF sources.","Macro Foundations","line","%","2023",5.0,3.7,2.5,5.1,1.1,5.6
Title,Description,Category,Type,Unit,Sector_Name,Revenue_2020,Revenue_2021,Revenue_2022,Revenue_2023,Growth_CAGR
"Indonesia Corporate Performance Index","Revenue performance across different industrial sectors in Indonesia from 2020 and 2023. Values in Trillion IDR.","Sectoral Intelligence","bar","T IDR","Banking & Finance",480,520,590,680,12.3
"Indonesia Corporate Performance Index","Revenue performance across different industrial sectors in Indonesia from 2020 and 2023. Values in Trillion IDR.","Sectoral Intelligence","bar","T IDR","Technology & Telecomm",120,145,180,210,20.5
"Indonesia Corporate Performance Index","Revenue performance across different industrial sectors in Indonesia from 2020 and 2023. Values in Trillion IDR.","Sectoral Intelligence","bar","T IDR","Energy & Mining",310,380,550,620,26.1
"Indonesia Corporate Performance Index","Revenue performance across different industrial sectors in Indonesia from 2020 and 2023. Values in Trillion IDR.","Sectoral Intelligence","bar","T IDR","Consumer Goods",250,265,285,310,7.5
"Indonesia Corporate Performance Index","Revenue performance across different industrial sectors in Indonesia from 2020 and 2023. Values in Trillion IDR.","Sectoral Intelligence","bar","T IDR","Agriculture",180,195,210,225,7.8
"Indonesia Corporate Performance Index","Revenue performance across different industrial sectors in Indonesia from 2020 and 2023. Values in Trillion IDR.","Sectoral Intelligence","bar","T IDR","Construction",150,160,175,190,8.2
"Indonesia Corporate Performance Index","Revenue performance across different industrial sectors in Indonesia from 2020 and 2023. Values in Trillion IDR.","Sectoral Intelligence","bar","T IDR","Transportation & Logistics",85,105,130,155,22.3
"Indonesia Corporate Performance Index","Revenue performance across different industrial sectors in Indonesia from 2020 and 2023. Values in Trillion IDR.","Sectoral Intelligence","bar","T IDR","Healthcare",60,95,105,115,24.2
"Indonesia Corporate Performance Index","Revenue performance across different industrial sectors in Indonesia from 2020 and 2023. Values in Trillion IDR.","Sectoral Intelligence","bar","T IDR","Education",35,42,48,55,16.3
"Indonesia Corporate Performance Index","Revenue performance across different industrial sectors in Indonesia from 2020 and 2023. Values in Trillion IDR.","Sectoral Intelligence","bar","T IDR","Tourism & Hospitality",15,25,65,95,85.1
Title,Description,Category,Type,Unit,Year,Internet_Penetration,Ecommerce_GMV_USD_B,Unicorn_Count,Digital_Talent_K
"Digital Transformation Roadmap Indonesia","Long-term progress of Indonesia's digital economy ecosystem including internet reach and GMV scale.","Sectoral Intelligence","combo","Diverse","2015",34.5,8,1,50
"Digital Transformation Roadmap Indonesia","Long-term progress of Indonesia's digital economy ecosystem including internet reach and GMV scale.","Sectoral Intelligence","combo","Diverse","2016",38.2,12,2,75
"Digital Transformation Roadmap Indonesia","Long-term progress of Indonesia's digital economy ecosystem including internet reach and GMV scale.","Sectoral Intelligence","combo","Diverse","2017",44.3,18,3,120
"Digital Transformation Roadmap Indonesia","Long-term progress of Indonesia's digital economy ecosystem including internet reach and GMV scale.","Sectoral Intelligence","combo","Diverse","2018",51.0,27,4,180
"Digital Transformation Roadmap Indonesia","Long-term progress of Indonesia's digital economy ecosystem including internet reach and GMV scale.","Sectoral Intelligence","combo","Diverse","2019",58.4,40,5,250
"Digital Transformation Roadmap Indonesia","Long-term progress of Indonesia's digital economy ecosystem including internet reach and GMV scale.","Sectoral Intelligence","combo","Diverse","2020",64.1,47,6,320
"Digital Transformation Roadmap Indonesia","Long-term progress of Indonesia's digital economy ecosystem including internet reach and GMV scale.","Sectoral Intelligence","combo","Diverse","2021",68.5,70,9,450
"Digital Transformation Roadmap Indonesia","Long-term progress of Indonesia's digital economy ecosystem including internet reach and GMV scale.","Sectoral Intelligence","combo","Diverse","2022",73.7,77,11,600
"Digital Transformation Roadmap Indonesia","Long-term progress of Indonesia's digital economy ecosystem including internet reach and GMV scale.","Sectoral Intelligence","combo","Diverse","2023",77.0,82,14,800
"Digital Transformation Roadmap Indonesia","Long-term progress of Indonesia's digital economy ecosystem including internet reach and GMV scale.","Sectoral Intelligence","combo","Diverse","2024",79.5,90,16,1000
Title,Description,Category,Type,Unit,Period,Yield_1Y,Yield_2Y,Yield_5Y,Yield_10Y,Yield_30Y
"Indonesia Government Bond Yield Curve","Historical yield curve for Indonesian government bonds (SBN) across different maturities.","Financial Markets","line","%","Jan 2024",6.3,6.4,6.5,6.7,7.1
"Indonesia Government Bond Yield Curve","Historical yield curve for Indonesian government bonds (SBN) across different maturities.","Financial Markets","line","%","Feb 2024",6.2,6.3,6.5,6.6,7.0
"Indonesia Government Bond Yield Curve","Historical yield curve for Indonesian government bonds (SBN) across different maturities.","Financial Markets","line","%","Mar 2024",6.1,6.2,6.4,6.6,6.9
"Indonesia Government Bond Yield Curve","Historical yield curve for Indonesian government bonds (SBN) across different maturities.","Financial Markets","line","%","Apr 2024",6.4,6.5,6.7,6.9,7.3
"Indonesia Government Bond Yield Curve","Historical yield curve for Indonesian government bonds (SBN) across different maturities.","Financial Markets","line","%","May 2024",6.5,6.6,6.8,7.0,7.4
"Indonesia Government Bond Yield Curve","Historical yield curve for Indonesian government bonds (SBN) across different maturities.","Financial Markets","line","%","Jun 2024",6.6,6.7,6.9,7.1,7.5
"Indonesia Government Bond Yield Curve","Historical yield curve for Indonesian government bonds (SBN) across different maturities.","Financial Markets","line","%","Jul 2024",6.5,6.6,6.7,6.9,7.3
"Indonesia Government Bond Yield Curve","Historical yield curve for Indonesian government bonds (SBN) across different maturities.","Financial Markets","line","%","Aug 2024",6.3,6.4,6.5,6.7,7.1
"Indonesia Government Bond Yield Curve","Historical yield curve for Indonesian government bonds (SBN) across different maturities.","Financial Markets","line","%","Sep 2024",6.1,6.2,6.4,6.6,7.0
"Indonesia Government Bond Yield Curve","Historical yield curve for Indonesian government bonds (SBN) across different maturities.","Financial Markets","line","%","Oct 2024",6.0,6.1,6.2,6.4,6.8
"Indonesia Government Bond Yield Curve","Historical yield curve for Indonesian government bonds (SBN) across different maturities.","Financial Markets","line","%","Nov 2024",5.9,6.0,6.1,6.3,6.7
"Indonesia Government Bond Yield Curve","Historical yield curve for Indonesian government bonds (SBN) across different maturities.","Financial Markets","line","%","Dec 2024",5.8,5.9,6.0,6.2,6.6
Title,Description,Category,Type,Unit,Indicator_Name,Q1_2023,Q2_2023,Q3_2023,Q4_2023,Annual_2023
"Comprehensive Macro Balance Sheet","A full quarterly breakdown of Indonesia's national balance sheet indicators. Data in USD Billion.","Macro Foundations","bar","B USD","Foreign Exchange Reserves",140.3,137.5,134.9,146.4,146.4
"Comprehensive Macro Balance Sheet","A full quarterly breakdown of Indonesia's national balance sheet indicators. Data in USD Billion.","Macro Foundations","bar","B USD","Current Account Balance",3.0,-1.9,-0.9,-1.3,-1.1
"Comprehensive Macro Balance Sheet","A full quarterly breakdown of Indonesia's national balance sheet indicators. Data in USD Billion.","Macro Foundations","bar","B USD","Trade Balance Surplus",12.1,7.8,10.2,6.7,36.8
"Comprehensive Macro Balance Sheet","A full quarterly breakdown of Indonesia's national balance sheet indicators. Data in USD Billion.","Macro Foundations","bar","B USD","Foreign Direct Investment",11.5,12.0,11.2,12.5,47.2
"Comprehensive Macro Balance Sheet","A full quarterly breakdown of Indonesia's national balance sheet indicators. Data in USD Billion.","Macro Foundations","bar","B USD","External Debt",402.5,396.3,393.1,407.1,407.1
"Comprehensive Macro Balance Sheet","A full quarterly breakdown of Indonesia's national balance sheet indicators. Data in USD Billion.","Macro Foundations","bar","B USD","Government Revenue",52.1,58.4,54.2,65.8,230.5
"Comprehensive Macro Balance Sheet","A full quarterly breakdown of Indonesia's national balance sheet indicators. Data in USD Billion.","Macro Foundations","bar","B USD","Government Expenditure",48.9,62.1,59.5,78.4,248.9
"Comprehensive Macro Balance Sheet","A full quarterly breakdown of Indonesia's national balance sheet indicators. Data in USD Billion.","Macro Foundations","bar","B USD","Budget Deficit",3.2,-3.7,-5.3,-12.6,-18.4
